day,window,type,q,dev
2025-09-24,evening_peak,commercial,1,0.012970436111180112
2025-09-24,evening_peak,baseline,2,0.07301671197452203
2025-09-24,evening_peak,commercial,2,0.025035519693952468
2025-09-24,evening_peak,baseline,3,0.019788718231887898
2025-09-24,evening_peak,commercial,3,0.041605770373268416
2025-09-24,evening_peak,baseline,4,-0.008926703723714026
2025-09-24,evening_peak,commercial,4,0.056992672340628124
2025-09-24,evening_peak,baseline,5,-0.002982003129890454
2025-09-24,evening_peak,commercial,5,0.07648277414831928
2025-09-24,late_evening,baseline,1,0.044623966345368735
2025-09-24,late_evening,commercial,1,-0.0008916478358318654
2025-09-24,late_evening,baseline,2,0.011320123612215448
2025-09-24,late_evening,commercial,2,0.0015137710928527259
2025-09-24,late_evening,baseline,3,-0.0023333792621987076
2025-09-24,late_evening,commercial,3,0.011190303967437452
2025-09-24,late_evening,baseline,4,-0.0003849721706864564
2025-09-24,late_evening,commercial,4,0.013635961473333921
2025-09-24,late_evening,baseline,5,-0.000769135802469136
2025-09-24,late_evening,commercial,5,0.02701601880429812
2025-09-25,morning_peak,baseline,1,0.05947983367213621
2025-09-25,morning_peak,commercial,1,0.004081375757741746
2025-09-25,morning_peak,baseline,2,0.011036496943166323
2025-09-25,morning_peak,commercial,2,0.00852112083394196
2025-09-25,morning_peak,baseline,3,-0.006438388730790542
2025-09-25,morning_peak,commercial,3,0.010542852438670595
2025-09-25,morning_peak,baseline,4,-0.020608855612157948
2025-09-25,morning_peak,commercial,4,0.009320669554461187
2025-09-25,morning_peak,baseline,5,-0.0015979038854805727
2025-09-25,morning_peak,commercial,5,0.009405163802057973
2025-09-25,mid_morning,baseline,1,0.0481831596309108
2025-09-25,mid_morning,commercial,1,0.004926561650101371
2025-09-25,mid_morning,baseline,2,0.011621118140685895
2025-09-25,mid_morning,commercial,2,0.005694318322297293
2025-09-25,mid_morning,baseline,3,0.0009220307691528986
2025-09-25,mid_morning,commercial,3,0.007984547528502141
2025-09-25,mid_morning,baseline,4,-0.010043479015792101
2025-09-25,mid_morning,commercial,4,0.013179879804198337
2025-09-25,mid_morning,baseline,5,-0.0016100254885301612
2025-09-25,mid_morning,commercial,5,0.017293497170376065
2025-09-25,lunch,baseline,1,0.04634335429669761
2025-09-25,lunch,commercial,1,-0.000863354639926494
2025-09-25,lunch,baseline,2,0.009182908455575619
2025-09-25,lunch,commercial,2,0.0013944526291332661
2025-09-25,lunch,baseline,3,-0.004968537066079482
2025-09-25,lunch,commercial,3,0.0020248726092787933
2025-09-25,lunch,baseline,4,-0.012228756508147727
2025-09-25,lunch,commercial,4,0.007420908579666063
2025-09-25,lunch,baseline,5,-0.0016327345309381236
2025-09-25,lunch,commercial,5,0.026719355468956273
2025-09-25,afternoon,baseline,1,0.041242817438160814
2025-09-25,afternoon,commercial,1,0.004379042600568981
2025-09-25,afternoon,baseline,2,0.01618763798620648
2025-09-25,afternoon,commercial,2,0.00775880180776014
2025-09-25,afternoon,baseline,3,0.004357669362737269
2025-09-25,afternoon,commercial,3,0.008665908053036029
2025-09-25,afternoon,baseline,4,-0.001564476469708908
2025-09-25,afternoon,commercial,4,0.014617738274887417
2025-09-25,afternoon,baseline,5,-0.0016011066398390341
2025-09-25,afternoon,commercial,5,0.02323813723389721
2025-09-25,evening_peak,baseline,1,0.037361873757979974
2025-09-25,evening_peak,commercial,1,0.0050555806650603215
2025-09-25,evening_peak,baseline,2,0.013718625466792523
2025-09-25,evening_peak,commercial,2,0.00777435104453884
2025-09-25,evening_peak,baseline,3,0.002242895127230166
2025-09-25,evening_peak,commercial,3,0.0051539040622334805
2025-09-25,evening_peak,baseline,4,-0.008410102777156765
2025-09-25,evening_peak,commercial,4,0.014235884736697669
2025-09-25,evening_peak,baseline,5,-0.001383303028044812
2025-09-25,evening_peak,commercial,5,0.011310268038270779
2025-09-25,late_evening,baseline,1,0.0078117710871611545
2025-09-25,late_evening,commercial,1,-0.0021432631250332115
2025-09-25,late_evening,baseline,2,-0.004407442877783451
2025-09-25,late_evening,commercial,2,-0.0003703053714710812
2025-09-25,late_evening,baseline,3,-0.010484056948208371
2025-09-25,late_evening,commercial,3,-0.0037080170528012452
2025-09-25,late_evening,baseline,4,-0.00040290284135334334
2025-09-25,late_evening,commercial,4,0.0033079434687154005
2025-09-25,late_evening,baseline,5,-0.0016218316594930654
2025-09-25,late_evening,commercial,5,-0.006190821159086939
