datetime,day,slot,n_roads,mean_dev,median_dev,std_dev,p05,p10,p25,p75,p90,p95,pct_faster,pct_better_005,pct_worse_005,pct_better_003,pct_worse_003,pct_better_010,pct_worse_010,iqr
2025-09-21 00:00:00,2025-09-21,0,4071,0.0004589815497147843,0.0,0.04494883329014263,-0.05416666666666664,-0.0033333333333332993,0.0,0.0,0.009999999999999898,0.05666666666666664,0.10734463276836158,0.056742815033161385,0.05232129697862933,0.07197248833210514,0.07098992876443135,0.024809629083763204,0.02407270940800786,0.0
2025-09-21 00:30:00,2025-09-21,1,3791,0.002121955508660863,0.0,0.04534533634817505,-0.029999999999999916,0.0,0.0,0.0,0.011999999999999955,0.06849999999999995,0.11052492745977315,0.06357161698760222,0.04009496175151675,0.08520179372197309,0.049854919546293855,0.028224742811922974,0.020575046161962544,0.0
2025-09-21 01:00:00,2025-09-21,2,3815,0.0015452235328382111,0.0,0.041568271294229235,-0.03500000000000003,0.0,0.0,0.0,0.0,0.05249999999999999,0.09934469200524246,0.05163826998689384,0.04036697247706422,0.06605504587155964,0.0526867627785059,0.027522935779816515,0.019134993446920052,0.0
2025-09-21 01:30:00,2025-09-21,3,3693,0.0013487002437043056,0.0,0.040260120668408554,-0.025399999999999954,0.0,0.0,0.0,0.0,0.04499999999999995,0.09775250473869483,0.047386948280530736,0.036555645816409424,0.06417546709991877,0.04765773084213377,0.023828865421066884,0.018142431627403196,0.0
2025-09-21 02:00:00,2025-09-21,4,3678,0.0013418751132862068,0.0,0.04120139151417237,-0.03358333333333328,0.0,0.0,0.0,0.0,0.04499999999999994,0.09026644915715062,0.046220772158781946,0.04105492115280043,0.0622620989668298,0.05193039695486677,0.021750951604132682,0.020391517128874388,0.0
2025-09-21 02:30:00,2025-09-21,5,3500,0.0006469206349206351,0.0,0.03641800267093312,-0.020000000000000018,0.0,0.0,0.0,0.0,0.026666666666666623,0.07714285714285714,0.03628571428571428,0.03,0.049428571428571426,0.04114285714285714,0.018857142857142857,0.014571428571428572,0.0
2025-09-21 03:00:00,2025-09-21,6,3440,-0.0005152858527131785,0.0,0.037316960350762325,-0.020000000000000018,0.0,0.0,0.0,0.0,0.023416666666666194,0.06627906976744186,0.034593023255813954,0.03313953488372093,0.04622093023255814,0.044186046511627906,0.013953488372093023,0.017151162790697675,0.0
2025-09-21 03:30:00,2025-09-21,7,3383,-0.00014154924951555138,0.0,0.03778710487321829,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0178666666666662,0.06443984629027491,0.03281111439550695,0.027490393142181494,0.0431569612769731,0.0381318356488324,0.01507537688442211,0.0162577593851611,0.0
2025-09-21 04:00:00,2025-09-21,8,3386,-7.294743059657392e-05,0.0,0.03600680821149767,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.014999999999999986,0.06349675132900177,0.028647371529828707,0.023331364441819255,0.04134672179562906,0.0318960425280567,0.013585351447135264,0.012699350265800354,0.0
2025-09-21 04:30:00,2025-09-21,9,3373,0.0007749777646012462,0.0,0.031363170654096634,-0.0009999999999999217,0.0,0.0,0.0,0.0,0.019999999999999952,0.06729914023124815,0.03379780610732286,0.023124814705010377,0.0429884375926475,0.031722502223539874,0.014230655203083309,0.012155351319300326,0.0
