variable,coef,se,t,p
const,0.14086956521739127,0.01581874883295093,8.90522801170948,1.3260943221647689e-18
intersection_degree,0.046386907170300654,0.016134016350232063,2.875099799290426,0.004088831424683053
dist_to_coast_m,0.013157206148156707,0.01681506991367173,0.7824651467823547,0.4340492826770923
log_incident_count_500m,-0.016931282680403534,0.01606828166652025,-1.0537083573585486,0.29216488973154425
road_highway,0.05593382654605915,0.017108590007108012,3.2693416887552176,0.0010993289440460632
road_local,-0.024100104791844115,0.01662718607658463,-1.4494397717592926,0.14739763739022513
ratio_雇员_500m,0.03319080034209636,0.022433905877196555,1.4794927162386773,0.1391923317867044
ratio_学生_500m,0.036074078818397984,0.018735457349897403,1.9254442602969353,0.05433898498573602
log_population_density_500m,0.004116780972140871,0.017636782416552067,0.2334201825995928,0.815462999281123
median_income_500m,-0.01667554491572433,0.025294104314120474,-0.6592660767361184,0.5098134321482406
