road_id,group,n_slots,mean_dev,F_rate,S_rate,ctrl_dev,ctrl_F,ctrl_S,intersection_degree,road_length_m,work_density,education_density,retail_density,food_drink_density,recreation_density,medical_density,transport_density,tourism_density,finance_density,civic_density,population_density_500m,median_income_500m,ratio_学生_500m,ratio_雇员_500m,ratio_退休人士_500m,ratio_age_65plus_500m,ctrl_S,ctrl_F,n_slots,mean_dev
14,Typhoon-Fast,60,0.13196044973544974,0.7833333333333333,0.016666666666666666,0.0009660541752932932,0.41304347826086957,0.30434782608695654,6.5,139.93148385149556,2.385404585362695,0.0,0.0,0.0,0.0,0.0,1.1927022926813475,0.0,0.0,0.0,,,,,,,0.30434782608695654,0.41304347826086957,60,0.13196044973544974
23,Other,60,0.0043518518518518515,0.06666666666666667,0.0,0.005439814814814814,0.08333333333333333,0.0,2.0,49.17587181359397,1.2003085962448756,0.0,0.0,0.0,0.0,0.0,1.2003085962448756,0.0,0.0,2.4006171924897513,,,,,,,0.0,0.08333333333333333,60,0.0043518518518518515
28,Other,60,0.0017731481481481459,0.05,0.0,0.0015133101851851835,0.041666666666666664,0.0,1.0,31.00790452494041,0.0,0.0,0.0,0.0,1.2277509242149496,0.0,14.733011090579396,1.2277509242149496,0.0,1.2277509242149496,,,,,,,0.0,0.041666666666666664,60,0.0017731481481481459
38,Other,59,-0.0005263653483992459,0.0847457627118644,0.01694915254237288,0.0053339947089947074,0.047619047619047616,0.0,3.0,364.8620948544036,5.375486665921509,0.8959144443202514,0.0,0.0,0.0,0.0,33.1488344398493,0.0,0.0,0.0,,,,,,,0.0,0.047619047619047616,59,-0.0005263653483992459
39,Other,60,0.004748070987654327,0.016666666666666666,0.0,0.002024980709876551,0.020833333333333332,0.020833333333333332,5.0,14.884274602468393,0.0,3.7898921205128664,0.0,0.0,10.10637898803431,0.0,2.5265947470085774,1.2632973735042887,0.0,12.632973735042889,,,,,,,0.020833333333333332,0.020833333333333332,60,0.004748070987654327
50,Typhoon-Fast,24,0.06962935405643739,0.75,0.16666666666666666,-0.011419043485449714,0.375,0.34375,24.0,96.52126903444116,5.678138029707638,0.0,0.0,2.271255211883055,0.0,0.0,68.13765635649165,2.271255211883055,0.0,0.0,,,,,,,0.34375,0.375,24,0.06962935405643739
53,Typhoon-Fast,10,0.11351785714285716,0.8,0.0,-0.008711309523809517,0.2777777777777778,0.3333333333333333,28.5,878.5869524371597,4.877992264961597,1.625997421653866,9.755984529923195,8.942985819096263,0.812998710826933,0.0,38.21093940886585,0.812998710826933,2.4389961324807987,1.625997421653866,,,,,,,0.3333333333333333,0.2777777777777778,10,0.11351785714285716
63,Other,60,-0.0005208333333333333,0.0,0.016666666666666666,0.0005989583333333345,0.0,0.0,8.5,67.31504954982525,3.523392267937061,0.0,0.0,0.0,0.0,0.0,28.187138143496487,0.0,0.0,0.0,,,,,,,0.0,0.0,60,-0.0005208333333333333
64,Other,60,0.000226851851851854,0.03333333333333333,0.016666666666666666,0.004936342592592594,0.041666666666666664,0.0,5.0,58.9690419056887,2.372180496492097,0.0,0.0,0.0,0.0,0.0,35.58270744738145,0.0,0.0,0.0,,,,,,,0.0,0.041666666666666664,60,0.000226851851851854
67,Other,59,-0.0005010761366693609,0.03389830508474576,0.01694915254237288,-0.006999007936507944,0.027777777777777776,0.05555555555555555,9.5,20.520456806299077,3.7300640623141335,0.0,7.460128124628267,4.973418749752178,0.0,0.0,105.68514843223379,0.0,2.486709374876089,1.2433546874380446,,,,,,,0.05555555555555555,0.027777777777777776,59,-0.0005010761366693609
70,Typhoon-Fast,26,0.11907417582417582,0.7307692307692307,0.0,0.01865873015873015,0.3333333333333333,0.13333333333333333,11.0,447.6820307588984,7.385444016569157,1.6412097814598128,0.0,0.8206048907299064,3.2824195629196256,0.0,34.46540541065607,0.8206048907299064,0.0,0.8206048907299064,,,,,,,0.13333333333333333,0.3333333333333333,26,0.11907417582417582
77,Typhoon-Fast,60,0.038074074074074066,0.43333333333333335,0.0,-0.03704861111111111,0.20833333333333334,0.25,4.5,50.19294364974698,2.397412325315752,0.0,0.0,0.0,0.0,0.0,87.50554987402496,0.0,0.0,0.0,,,,,,,0.25,0.20833333333333334,60,0.038074074074074066
79,Other,49,0.0021428571428571425,0.02040816326530612,0.0,0.0,0.0,0.0,6.5,358.2414239931804,8.087841480802643,1.0109801851003304,0.0,1.0109801851003304,4.0439207404013215,0.0,46.505088514615196,1.0109801851003304,0.0,1.0109801851003304,,,,,,,0.0,0.0,49,0.0021428571428571425
80,Typhoon-Fast,26,0.1399679487179487,0.7692307692307693,0.038461538461538464,0.02548363095238093,0.3125,0.1875,7.5,104.49388316754184,10.157694673922581,2.257265483093907,0.0,1.1286327415469535,4.514530966187814,0.0,47.40257514497205,1.1286327415469535,0.0,1.1286327415469535,,,,,,,0.1875,0.3125,26,0.1399679487179487
81,Other,23,0.08659523809523809,0.6956521739130435,0.2608695652173913,0.008152841781874042,0.41935483870967744,0.3548387096774194,32.0,193.9443578191928,12.335610544854784,5.139837727022827,14.391545635663913,30.83902636213696,22.615285998900436,6.167805272427392,123.35610544854784,3.083902636213696,3.083902636213696,4.1118701816182615,14375.098154937441,44612.78604118993,0.13122139588100687,0.500429061784897,0.1735554919908467,0.167691647597254,0.3548387096774194,0.41935483870967744,23,0.08659523809523809
82,Typhoon-Fast,7,0.027448979591836738,0.5714285714285714,0.14285714285714285,0.015734126984126993,0.48148148148148145,0.25925925925925924,32.0,221.99700191343413,6.95809692560907,0.9940138465155814,7.952110772124652,19.880276930311627,17.892249237280467,3.976055386062326,107.3534954236828,2.9820415395467443,2.9820415395467443,2.9820415395467443,10303.947532980517,40886.16438356164,0.12801466332240016,0.5096469226316805,0.17875747636503955,0.17470576885973374,0.25925925925925924,0.48148148148148145,7,0.027448979591836738
88,Typhoon-Fast,60,0.07798148148148147,0.48333333333333334,0.016666666666666666,-0.04842592592592593,0.22916666666666666,0.22916666666666666,3.5,28.81130490106409,12.314898591418725,3.6944695774256173,13.546388450560597,27.092776901121194,14.77787830970247,1.2314898591418724,102.21365830877541,3.6944695774256173,2.4629797182837447,4.9259594365674895,4455.530310375294,55290.0,0.1404090657822001,0.4740187949143173,0.15865118850193477,0.14759535655058043,0.22916666666666666,0.22916666666666666,60,0.07798148148148147
92,Other,23,0.08708410973084885,0.6956521739130435,0.21739130434782608,0.008656187996031725,0.40625,0.40625,26.5,67.23451489313882,7.0474591753349465,1.1745765292224912,10.57118876300242,21.14237752600484,23.491530584449823,5.872882646112456,129.20341821447403,3.5237295876674732,3.5237295876674732,2.3491530584449825,16425.278184647315,44612.78604118993,0.13122139588100687,0.500429061784897,0.1735554919908467,0.167691647597254,0.40625,0.40625,23,0.08708410973084885
95,Typhoon-Fast,60,0.05433989197530865,0.5833333333333334,0.1,0.003932773919753094,0.375,0.25,18.5,19.34408926606117,2.49412677624373,3.7411901643655945,6.235316940609325,3.7411901643655945,18.705950821827972,0.0,32.42364809116849,2.49412677624373,0.0,11.223570493096783,13757.603297760414,17950.0,0.29949238578680204,0.33484408992023207,0.07197244379985497,0.06589920232052211,0.25,0.375,60,0.05433989197530865
98,Other,56,0.0,0.0,0.0,0.0,0.0,0.0,7.0,494.46287557376746,5.3641159286626685,0.0,12.516270500212894,17.88038642887556,10.728231857325337,0.0,3.5760772857751126,1.7880386428875563,0.0,8.94019321443778,,,,,,,0.0,0.0,56,0.0
100,Typhoon-Fast,15,0.03613756613756613,0.6666666666666666,0.13333333333333333,-0.011783163265306129,0.22857142857142856,0.3142857142857143,4.5,422.9751263118597,1.6762862817816184,2.5144294226724275,1.6762862817816184,2.5144294226724275,11.73400397247133,0.0,25.982437367615084,0.8381431408908092,0.0,10.895860831580519,9246.395130307406,17950.0,0.29949238578680204,0.33484408992023207,0.07197244379985497,0.06589920232052211,0.3142857142857143,0.22857142857142856,15,0.03613756613756613
111,Typhoon-Fast,60,0.05573680555555555,0.5166666666666667,0.05,0.013313657407407406,0.25,0.14583333333333334,25.0,0.33395847491919994,6.373721250393328,0.0,0.0,0.0,0.0,0.0,14.022186750865322,0.0,0.0,0.0,,,,,,,0.14583333333333334,0.25,60,0.05573680555555555
112,Typhoon-Fast,60,0.09666782407407405,0.6666666666666666,0.0,0.004749710648148137,0.3333333333333333,0.25,16.5,259.0330910854687,8.629137774933662,0.0,0.0,0.0,0.0,0.0,10.546723947141142,0.0,0.0,0.9587930861037401,,,,,,,0.25,0.3333333333333333,60,0.09666782407407405
120,Other,55,0.003009331409331407,0.0,0.0,0.0037328657561215696,0.0,0.0,19.5,659.5936312378522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897948210374261,,,,,,,0.0,0.0,55,0.003009331409331407
121,Other,54,0.00018518518518518534,0.0,0.0,0.0002380952380952383,0.0,0.0,13.0,51.02357584248548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2080211498332534,,,,,,,0.0,0.0,54,0.00018518518518518534
