estate,total_pop,working_pop,median_income,ratio_age_65plus,ratio_age_0_14,n_roads,tot_length_km,bl_acc,typh_acc,dev_acc,n_worse_10,n_better_10,d_fire_m,t_fire_bl,t_fire_typh,d_t_fire,d_hosp_m,t_hosp_bl,t_hosp_typh,d_t_hosp,d_pol_m,lat,lon
Grand YOHO,4486.0,2667.0,55020.0,0.061970575122603656,0.16116807846633974,98.0,73.74399126102557,0.933375576640499,0.9494430999020861,0.016067523261587148,3.0,15.0,688.5393891559783,0.8852248630300439,0.8702441115980335,-0.014980751432010386,412.3445857805925,0.5301333303767113,0.5211618294848211,-0.008971500891890138,1529.3573326320554,22.445294,114.0376361
YOHO Midtown,5133.0,2922.0,59000.0,0.0568868108318722,0.18799922072861874,97.0,72.66360274169777,0.9323849808072547,0.9491188670864955,0.016733886279240544,3.0,15.0,484.0120618817237,0.6229341808522074,0.6119512469928989,-0.010982933859308486,551.1548179519392,0.7093483862960793,0.6968418861723601,-0.012506500123719233,1423.7670110765484,22.443484,114.036681
万景峯,4190.0,2389.0,50310.0,0.16014319809069213,0.13031026252983294,169.0,189.433782058305,0.9634050319429591,0.9763718909677788,0.012966859024819501,0.0,29.0,610.0759864393227,0.7598996885564665,0.7498077223439312,-0.010091966212535275,589.7983139104587,0.7346421839474626,0.7248856539602154,-0.009756529987247187,855.4795252413909,22.3699345,114.1137758
三圣邨,4504.0,2036.0,19400.0,0.20936944937833038,0.10412966252220249,65.0,71.38891825903174,0.9804858126024244,0.9874001481241781,0.006914335521753837,2.0,9.0,882.5550251795171,1.0801441658848963,1.0725803841810135,-0.0075637817038827215,2962.8040111513506,3.626125710014001,3.6007335224082717,-0.025392187605729255,1292.885750858044,22.3812722,113.9781515
东堤湾畔,5112.0,2885.0,56340.0,0.17018779342723006,0.09585289514866979,63.0,115.41335309821172,0.9967993115198832,0.9976030237716806,0.0008037122517975112,1.0,5.0,428.80794489784324,0.5162217990427933,0.5158059083782212,-0.0004158906645721494,697.6170158508152,0.8398284482606002,0.8391518460479054,-0.0006766022126948323,513.7851991474429,22.2884685,113.939244
东头（２）邨,15440.0,7192.0,19500.0,0.27545336787564767,0.06321243523316063,345.0,164.87542360830597,0.8911604834637674,0.9104974193378471,0.01933693587407979,4.0,71.0,986.4608579513618,1.328327558848454,1.3001168420691518,-0.028210716779302203,389.7554134974805,0.5248285857324961,0.5136823963071888,-0.011146189425307318,824.4442991189871,22.3333038,114.1919502
东旭苑,5052.0,2710.0,41950.0,0.1823040380047506,0.12648456057007126,163.0,141.86181173614412,0.9447826926606302,0.9586080974477794,0.013825404787149147,4.0,22.0,830.1817139443154,1.0544414757722749,1.0392339261326216,-0.015207549639653317,1413.0552421946934,1.7947685788553307,1.7688837546315472,-0.025884824223783465,421.61258882316247,22.282317,114.2270907
东汇邨,5280.0,2059.0,13140.0,0.2456439393939394,0.12765151515151515,354.0,169.69935778940342,0.8905488430167123,0.9104273293478523,0.019878486331140175,4.0,74.0,910.1074576367502,1.2263549132965466,1.199578389135575,-0.02677652416097165,332.41277016403455,0.4479207707974706,0.43814076240722466,-0.009780008390245953,880.5127728571875,22.3319805,114.1924242
东涛苑,3506.0,1938.0,40040.0,0.19537934968625215,0.13177410154021676,162.0,135.9328745345332,0.9404890032482118,0.9555758828208825,0.015086879572670518,4.0,25.0,699.3498525703417,0.8923228450156849,0.8782346207891029,-0.014088224226582069,1292.017102766285,1.6485259455079013,1.6224985908420628,-0.026027354665838498,410.0194292950237,22.2820081,114.2257653
东港城,5757.0,3006.0,51040.0,0.12732325864165364,0.16345318742400555,90.0,101.44603166904716,0.9781107868786264,0.9772162128105366,-0.0008945740680899358,2.0,9.0,1763.0002089398934,2.162945424085581,2.1649254514958054,0.0019800274102244053,486.65983057838673,0.5970609919942856,0.5976075601677404,0.0005465681734547756,946.8414812735026,22.3163916,114.2654772
东熹苑,6262.0,2999.0,28170.0,0.28537208559565636,0.06866815713829448,157.0,152.8819416113978,0.9472235335548569,0.9608756493759956,0.013652115821138676,2.0,26.0,338.635735102537,0.4290042083287309,0.4229089189500655,-0.0060952893786653806,815.3724197161417,1.0329630430394126,1.018286709934616,-0.014676333104796546,438.8634905559823,22.2800145,114.2189397
东环,4477.0,2845.0,48400.0,0.09448291266473084,0.10319410319410319,77.0,134.49676377977784,0.9972131827006988,0.9979256942521321,0.0007125115514331348,1.0,5.0,1458.2306228448651,1.7547669623407316,1.7535140717317987,-0.001252890608932855,1871.1724335010595,2.251681946402029,2.250074262176434,-0.0016076842255947632,1487.3626198262525,22.2958855,113.9499487
东骏苑,3242.0,1527.0,30020.0,0.29796421961752007,0.07186921653300432,139.0,127.93563078494442,0.9427623603920281,0.9576483565841782,0.01488599619215,4.0,24.0,758.0689950179288,0.9649120841473156,0.9499131782215432,-0.014998905925772354,1310.9591987442175,1.6686612709473243,1.6427230597505644,-0.025938211196759875,794.7797139420427,22.2770649,114.2226077
