variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.5391516110926025,0.04729643106503992,0.5832428593069601,4.2094158840218676e-30,0.5316060263383905,0.639895366265137
intersection_degree,0.13112807550468436,0.0492914697195592,1.1401137926109415,0.00780805855613865,1.0351194129099015,1.255757977186007
dist_to_coast_m,0.011660459183704732,0.05091963551143563,1.0117287073482417,0.8188710126075232,0.9156308237213104,1.1179123187579525
log_incident_count_500m,0.4444018112567729,0.4991983247970566,1.5595570073028673,0.3733418758430562,0.5862394791793206,4.148847263634222
log_severe_incident_500m,-0.23799556873891445,0.49729816059542914,0.7882061838334216,0.6322394309041693,0.29739324358001606,2.089048765043945
work_share,0.18146864232485008,0.12058650966813547,1.198976938990863,0.13235404474528997,0.9465978653108262,1.5186445616585724
education_share,0.03962711968312999,0.06307110095532263,1.040422748689138,0.5298121363495225,0.9194383925741799,1.1773268385706734
retail_share,0.1504973631300678,0.08455064288804642,1.16241223996921,0.07508134414386099,0.9848933705382619,1.371927414733008
food_drink_share,-0.013915595542541178,0.12139214313549634,0.9861807788037206,0.9087356954246258,0.7773658452738733,1.2510872897165601
recreation_share,0.2900985493911606,0.11218308884625931,1.3365591986306407,0.009711430460299302,1.0727438320946348,1.6652535656682192
medical_share,0.17379736063298273,0.05880103061060036,1.1898144381455942,0.0031197490836901453,1.0602951795548496,1.335154987514006
transport_share,0.254275547608812,0.16655168849490046,1.2895270814214552,0.12683400709797682,0.930376662080016,1.7873192240244762
tourism_share,-0.3104517609834547,0.10403220330350965,0.7331156883386204,0.0028433104480780186,0.5978861788862767,0.8989313208232541
finance_share,0.08613198301384495,0.06238717772057487,1.0899501737212127,0.1674007729914727,0.9644986123920852,1.2317191190649042
total_poi_density,0.0868510498797689,0.08788697475996085,1.0907342026274656,0.32304834892731016,0.9181381397520426,1.295775710943312
road_highway,-0.07901892361418485,0.050524118222829976,0.924022438435515,0.1178212743559904,0.8369037615495517,1.0202098568077256
road_local,-0.0783534016190327,0.048799194928742504,0.9246376003715018,0.10835545391799445,0.8402970458201245,1.0174434103672694
