estate,bl_acc,typh_acc,dev_acc,d_fire_m,d_hosp_m,t_fire_bl,t_fire_typh,d_t_fire,total_pop,ratio_age_65plus
碧堤半岛,0.9983530821879604,0.9934121566288613,-0.004940925559099123,236.3645151362408,4614.593216173343,0.2841053162693481,0.28551836845444994,0.0014130521851018485,8970.0,0.13277591973244146
丽都花园,0.9983759999901375,0.993503830232759,-0.00487216975737856,403.57220583073087,4795.7740427437175,0.4850744078399933,0.4874532259059514,0.0023788180659581326,3932.0,0.14216683621566634
海韵花园,0.9983788927038675,0.9935154013900028,-0.004863491313864748,175.18871540206075,4533.332452060804,0.210567811498023,0.21159859040770806,0.0010307789096850595,3201.0,0.1768197438300531
浪翠园,0.9984233286730012,0.9936931499106384,-0.004730178762363027,667.9397666363676,5060.895023001498,0.8027934613957259,0.8066149193397595,0.003821457944033546,4800.0,0.14083333333333334
迎海,0.9986753687323046,0.9940318431533197,-0.004643525578984907,1563.3870289093536,3681.0834420799083,1.8785528245005754,1.8873283060428678,0.008775481542292463,8958.0,0.07043983031926769
珀丽湾,0.9984975466117197,0.9939900294221906,-0.004507517189529097,529.7300556073099,5234.7058806661,0.6366325775019293,0.639519560471137,0.002886982969207752,12370.0,0.11899757477768795
翠拥华庭,0.9982794014186802,0.9940067161154379,-0.004272685303242255,1363.3254918171308,3610.2174992224154,1.638810324900633,1.6458546644171395,0.007044339516506515,5055.0,0.13372898120672602
银湖‧天峰,0.9982794014186802,0.9940067161154379,-0.004272685303242255,1534.0212134096246,3745.5330928771086,1.8439982368418155,1.8519245657468648,0.007926328905049296,6438.0,0.08791550170860515
明德邨,0.9798267454530861,0.9756587207704236,-0.004168024682662314,2031.9459276992268,205.53874684421996,2.488537003663388,2.4991680608498577,0.010631057186469839,4212.0,0.24287749287749288
锦龙苑,0.9977218533762698,0.9940104874758154,-0.0037113659004544045,1064.5998947031023,3271.3700107619716,1.2804368966366955,1.2852177011611312,0.0047808045244357444,3989.0,0.19553772875407371
利安邨,0.9977651755015022,0.9941977973595885,-0.0035673781419137624,1167.4711098486785,3404.508569440841,1.4041032561737317,1.409141456095686,0.005038199921954423,10522.0,0.2100361148070709
雅典居,0.996971456706782,0.9935519128341118,-0.0034195438726702036,938.9302985104099,3076.9921419055167,1.1301390332018992,1.1340286739507428,0.0038896407488435703,3164.0,0.0897597977243995
帝琴湾,0.9982466649268,0.9950072840127815,-0.003239380914018686,2215.0739990141014,4459.25128610738,2.6627575049417627,2.671426472474725,0.008668967532962313,3377.0,0.1217056559076103
富宝花园,0.9957483781989444,0.9926871853122261,-0.003061192886718064,759.5745013579561,2987.0892095764757,0.9153812565361139,0.9182040577494308,0.0028228012133169056,11422.0,0.2451409560497286
锦英苑,0.9953820012671672,0.99235614285709,-0.0030258584100772722,467.64471280433884,2729.1588808882434,0.5637771776572277,0.5654962277449436,0.0017190500877158899,9561.0,0.24108356866436564
清水湾半岛,0.9685399650682008,0.9656249697837379,-0.002914995284462877,702.2011768022222,1616.6852898047193,0.8700120207257851,0.8726383829442452,0.002626362218460132,5290.0,0.11795841209829867
富宁花园,0.9775935379791826,0.975246007455226,-0.002347530523956535,1756.4484246229952,242.69572910611717,2.1560475061082878,2.1612373631217983,0.0051898570135104904,6988.0,0.2475672581568403
裕明苑,0.9784880973400033,0.9762342900197845,-0.002253807320218852,1717.0105830513635,325.8743529989632,2.1057105398244693,2.1105719402868752,0.004861400462405907,3491.0,0.2231452305929533
煜明苑,0.9784581712345043,0.9762189540192915,-0.0022392172152127946,2041.3149444707865,459.5259173110668,2.5035080756434915,2.509250535732311,0.005742460088819623,5090.0,0.18015717092337918
和明苑,0.978894363258409,0.97680044733357,-0.0020939159248392213,1913.7027220184054,431.557201401554,2.3459561650533995,2.3509850683328657,0.005028903279466146,4792.0,0.17591819699499164
