day,n_roads,km,faster_03,near_03,slower_03,faster_05,near_05,slower_05
2025-09-16,5827,1921.5236889282796,0.24933464668345165,0.5185181699525454,0.23214718336400303,0.18327088099446492,0.6371108710944257,0.17961824791110934
2025-09-26,6046,1970.5899499526677,0.23775816823333987,0.5066891530685655,0.25555267869809467,0.17741981535296308,0.632083488819978,0.19049669582705892
2025-09-29,6086,2007.1540432021984,0.21915231146101713,0.5017777310994,0.2790699574395829,0.16140087944606984,0.6255298976256167,0.21306922292831346
2025-09-30,5994,1904.5311771170227,0.2556865227344165,0.48991080548053517,0.25440267178504833,0.18745559375314108,0.6201396442018332,0.19240476204502577
2025-10-02,5933,1896.62137715408,0.2582307336667638,0.48958519001295503,0.2521840763202812,0.1891878414471955,0.6202975003618397,0.19051465819096478
2025-10-06,5421,1716.0562782923278,0.3002377100728908,0.48603881587288617,0.21372347405422304,0.23124372147264916,0.614290159940817,0.15446611858653378
2025-10-08,5812,1813.5706954916334,0.270654447929256,0.4963792376196895,0.23296631445105445,0.20120555328085107,0.6258446812970824,0.17294976542206647
2025-10-09,5700,1800.472281927277,0.2570337323296352,0.4836295906428454,0.2593366770275194,0.19022698881660788,0.6174496864925132,0.19232332469087893
CONTROL MEAN,5852,1878.8149365081858,0.2560110341388464,0.4965660867186778,0.2474228791424759,0.1901764093204928,0.6240932412292632,0.18573034945024391
Sep 23 (Yagiasha),4332,1293.8402235732628,0.4560715886261393,0.2922295382775587,0.251698873096302,0.3910418919219364,0.4006568480272894,0.2083012600507742
