signal,n_roads,mean,median,std,IQR,Faster%,Slower%,Neutral%,Q1,Q3
S3 (pre),151913,0.004124966131669556,0.0,0.11585790662467096,0.01666666666666672,22.59648614667606,18.357217617978712,59.04629623534523,0.0,0.01666666666666672
S8,88436,0.024334832571654964,0.0,0.109720635149173,0.032500000000000084,25.5461576733457,9.86815324076168,64.58568908589262,0.0,0.032500000000000084
S10,87788,0.02488143944642148,0.0,0.10771680870183566,0.028000000000000025,24.73572697863034,9.606096505217113,65.65817651615255,0.0,0.028000000000000025
S8 (2nd),63629,0.03251225737120631,0.0,0.13347580029872397,0.07800000000000007,34.18881327696491,14.694557513083655,51.116629209951434,0.0,0.07800000000000007
S3 (after),90815,0.00327867206195979,0.0,0.08978947917568726,0.0,15.740791719429609,12.233661840004405,72.02554644056599,0.0,0.0
Control,329512,-0.005077291625961933,0.0,0.08298449875055512,0.0,16.888004078758893,18.625118356842847,64.48687756439826,0.0,0.0
