comm_q,n,bl_mean,dev_mean,pct_better,pct_worse
low,496,0.9492581212559352,0.007164432416870372,5.040322580645161,1.0080645161290323
Q2,495,0.8878057003883929,0.0142801312603175,7.6767676767676765,3.6363636363636362
Q3,496,0.8285136859337974,0.024300542372618385,11.29032258064516,2.0161290322580645
Q4,495,0.750566340977328,0.0483668388058517,21.41414141414141,1.8181818181818181
high,496,0.6824966638413199,0.06890219958337518,30.040322580645164,0.6048387096774194
