variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.07386152946943954,0.04858147508941879,0.9288002964070772,0.12841949807794675,0.8444403146138959,1.0215878797784703
intersection_degree,0.10699446914287808,0.049534291826387765,1.1129280990160004,0.03077204631969672,1.0099564965100245,1.226398322956948
dist_to_coast_m,0.009911083868935104,0.04904000881096022,1.009960361323779,0.8398369842239665,0.9174040030088823,1.1118546770014284
log_incident_count_500m,-0.05584500172285129,0.04910197994696673,0.9456857041860591,0.25540166124737274,0.8589153708324707,1.0412218496393841
ctrl_F_rate,0.17359312989033485,0.04872808593465806,1.1895714662712864,0.00036735933414811076,1.08121572729094,1.3087862464897717
road_highway,0.11136256708466244,0.052230226135305605,1.1178001109206428,0.03299468974099587,1.009031867233604,1.2382929900913933
road_local,-0.10274344154328656,0.051041790776294456,0.9023584514781415,0.044122221494525236,0.816453473160373,0.9973021142309345
