,Morning faster,Midday slower,Network avg,MornFast/Net,MidSlow/Net,MidSlow/MornFast
road_length_m,284.2317294463978,266.75512443948617,330.34861604910776,0.8603993346354614,0.807495813452513,0.9385128288071459
intersection_degree,27.718619869125522,27.403575615474796,25.050259526522346,1.106520267375993,1.0939437807604684,0.9886342013008506
dist_to_coast_m,1855.0259046621898,1779.251203596992,1791.6982797208,1.0353450274849056,0.9930529172993637,0.9591516749848317
population_density_500m,28224.559409220466,28324.495166309986,27260.444607331858,1.0353668040186441,1.0390327661307455,1.0035407375413936
median_income_500m,31685.119978473824,33755.27128797783,33649.30654856409,0.9416277251581553,1.003149091327062,1.065335126106842
working_pop_ratio_500m,0.48751654437446174,0.495049010071299,0.49349554924310035,0.9878843793468676,1.0031478720133975,1.0154506873330877
ratio_退休人士_500m,0.1993851140541804,0.19604597023861514,0.1960583649847512,1.0169681567511182,0.9999367803248944,0.9832527928105109
ratio_学生_500m,0.14085329995185422,0.13974816652858835,0.1407269994554707,1.0008974858902144,0.9930444553591716,0.9921540111332597
work_density,21.456036287417138,26.253368300100817,25.712266122999328,0.8344669499288108,1.0210445152719339,1.2235889214774058
education_density,7.586032042795983,7.558737512145607,6.844062434877212,1.1084107012434177,1.1044226413871423,0.996402001666168
retail_density,19.350121919813738,21.999494926818812,21.334256935011865,0.9069976975883354,1.0311816808916001,1.1369176389680637
food_drink_density,29.35833207210757,33.83178448317812,35.65076907598188,0.8234978608606355,0.9489776899643599,1.1523742016434455
recreation_density,28.07497281087647,29.930813428854112,26.622170038978883,1.0545711626727072,1.1242815061668856,1.0661030245863203
medical_density,5.256910011690762,5.528472120173422,5.131147260223769,1.0245096749496736,1.0774339226296783,1.0516581238557894
transport_density,103.99319182839652,115.64269403151216,103.24149084832624,1.0072809969508734,1.120118404735212,1.1120217775634675
tourism_density,3.2545652755839716,3.491028948972149,4.650879567429426,0.6997741455994727,0.7506169313478193,1.0726559934631357
finance_density,5.253373123829642,6.282718572565788,5.831292285546907,0.9008934669336228,1.0774144503333778,1.1959399084117912
civic_density,7.725431328614875,7.982037398556359,7.185594938382516,1.075127584404845,1.1108387638050083,1.0332157596160383
incident_count_500m,29.249851279000595,32.50058616647128,20.46714774022028,1.4291122363631206,1.5879391979276096,1.1111368005417686
severe_incident_500m,22.943486020226057,22.33177022274326,14.994999367008482,1.5300758245249133,1.4892811714201806,0.9733381493577944
closure_nearby_500m,0.0,0.0,0.0,,,
