day,day_label,window,window_label,n_roads,mean_dev,median_dev,pct_better_10,pct_worse_10,bl_q1_dev,bl_q5_dev,bl_q1q5_gap,comm_low_dev,comm_high_dev,comm_hl_gap
2025-09-23,RISE  S3→S8,morning_peak,07:00–09:30,5435,0.026396848109938035,0.0,16.154553817847287,6.071757129714812,0.09125967865782723,-0.000645047531432076,0.09190472618925931,0.010565079182546983,0.022398731795437176,0.011833652612890194
2025-09-23,RISE  S3→S8,mid_morning,09:30–12:00,5882,0.005198535529470834,0.0,9.656579394763686,8.126487589255357,0.03240305685358255,-0.003090767487963749,0.0354938243415463,0.00576432145217192,0.0032591944421967787,-0.002505127009975141
2025-09-23,RISE  S3→S8,lunch,12:00–13:30,4070,-0.00864113707863708,0.0,10.122850122850123,12.948402948402949,0.021411359005109,-0.002565520065520065,0.023976879070629065,0.005045550014300014,0.011861248288331619,0.006815698274031605
2025-09-23,RISE  S3→S8,afternoon,13:30–16:30,3627,0.02576475345020372,0.0,14.557485525227461,4.301075268817205,0.07670661758275395,-0.0007495408631772266,0.07745615844593118,0.010334949255056576,0.05650022738204557,0.04616527812698899
2025-09-23,RISE  S3→S8,evening_peak,17:00–20:00,2773,0.046798965683276815,0.004166666666666763,22.142084385142443,1.6588532275513885,0.12390405080675915,0.0,0.12390405080675915,0.016389956007594894,0.07998347617458729,0.06359352016699239
2025-09-23,RISE  S3→S8,late_evening,20:00–23:00,2323,0.018257419981991298,0.0,8.179078777442962,0.9470512268618166,0.06533360447364928,-9.318996415770633e-05,0.06542679443780698,0.005851480770324858,0.034581717348428825,0.028730236578103967
2025-09-24,PEAK  S10+S8,morning_peak,07:00–09:30,4708,0.04719338389537823,0.018333333333333313,24.10790144435004,5.501274426508072,0.15813099466476255,-0.006400389242745932,0.1645313839075085,0.02198150240398117,0.061802113242678536,0.03982061083869737
2025-09-24,PEAK  S10+S8,mid_morning,09:30–12:00,4360,0.03896427033907132,0.007714533730158735,19.56422018348624,3.7385321100917435,0.11911984943590928,-0.004012614678899083,0.12313246411480837,0.007438032589437407,0.06697296721791418,0.059534934628476775
2025-09-24,PEAK  S10+S8,lunch,12:00–13:30,2948,0.03516788457304627,0.0,18.28358208955224,3.1886024423337855,0.112807649538158,-0.003217514124293785,0.11602516366245179,0.012487565577078289,0.06749217446865753,0.055004608891579244
2025-09-24,PEAK  S10+S8,afternoon,13:30–16:30,3209,0.03571923977488633,0.0,19.32066064194453,3.9576191960112186,0.1153426518279517,-0.004950674974039459,0.12029332680199116,0.008125425395726537,0.08064420411199844,0.0725187787162719
2025-09-24,PEAK  S10+S8,evening_peak,17:00–20:00,3195,0.042617434533469674,0.004444444444444362,22.62910798122066,4.350547730829421,0.13219044931454296,-0.002982003129890454,0.1351724524444334,0.012970436111180112,0.07648277414831928,0.06351233803713917
2025-09-24,PEAK  S10+S8,late_evening,20:00–23:00,2698,0.010495044595464274,0.0,6.634544106745738,2.928094885100074,0.044623966345368735,-0.000769135802469136,0.04539310214783787,-0.0008916478358318654,0.02701601880429812,0.027907666640129985
2025-09-25,FALL  S3→S1,morning_peak,07:00–09:30,6520,0.008374236477374692,0.0,11.242331288343559,8.220858895705522,0.05947983367213621,-0.0015979038854805727,0.061077737557616786,0.004081375757741746,0.009405163802057973,0.005323788044316227
2025-09-25,FALL  S3→S1,mid_morning,09:30–12:00,5884,0.009816072114226007,0.0,10.214140040788578,6.611148878314071,0.0481831596309108,-0.0016100254885301612,0.04979318511944096,0.004926561650101371,0.017293497170376065,0.012366935520274694
2025-09-25,FALL  S3→S1,lunch,12:00–13:30,4175,0.007339246929421579,0.0,10.826347305389222,7.2814371257485035,0.04634335429669761,-0.0016327345309381236,0.04797608882763573,-0.000863354639926494,0.026719355468956273,0.027582710108882767
2025-09-25,FALL  S3→S1,afternoon,13:30–16:30,4971,0.011730446438328193,0.0,8.972037819352243,4.586602293301147,0.041242817438160814,-0.0016011066398390341,0.04284392407799985,0.004379042600568981,0.02323813723389721,0.01885909463332823
2025-09-25,FALL  S3→S1,evening_peak,17:00–20:00,5325,0.008705997709360218,0.0,9.615023474178404,6.103286384976526,0.037361873757979974,-0.001383303028044812,0.038745176786024786,0.0050555806650603215,0.011310268038270779,0.006254687373210457
2025-09-25,FALL  S3→S1,late_evening,20:00–23:00,3485,-0.0018208926479354156,0.0,4.505021520803443,5.710186513629842,0.0078117710871611545,-0.0016218316594930654,0.00943360274665422,-0.0021432631250332115,-0.006190821159086939,-0.004047558034053727
