estate,bl_acc,typh_acc,dev_acc,d_fire_m,d_hosp_m,t_fire_bl,t_fire_typh,d_t_fire,total_pop,ratio_age_65plus
漾日居,0.8676511502613496,0.8983856872257143,0.030734536964364616,598.4184441343492,1143.8983726831616,0.8276392335155849,0.7993249927865334,-0.028314240729051532,4002.0,0.10519740129935032
帝后华庭,0.9018968670031784,0.9322001283114255,0.03030326130824717,259.3257001800605,196.4628233346371,0.34504038277691007,0.3338240692798009,-0.011216313497109165,2573.0,0.11270890011659541
宝翠园,0.9212207072385236,0.9481500391566757,0.026929331918152243,566.6628508496603,292.53169832752144,0.7381460443480101,0.7171812402438003,-0.020964804104209867,7265.0,0.08024776324845148
擎天半岛,0.8901079809761095,0.916115650832391,0.026007669856281498,735.6550009974634,1170.3963198348054,0.9917740544567143,0.9636185130063533,-0.028155541450361032,5802.0,0.1266804550155119
峻峦,0.9021440434822557,0.927172357753146,0.02502831427089071,2249.444043169041,1222.4541858106743,2.9921306595158406,2.911360362753103,-0.08077029676273773,5871.0,0.07562595809913132
海滨南岸,0.8882164788119714,0.9128660900335988,0.024649611221627513,717.2792507520572,1357.9501253459475,0.9690600449720768,0.9428930598909515,-0.02616698508112525,6704.0,0.07353818615751789
观龙楼,0.9304157931065672,0.9550496180972489,0.024633824990681896,400.5944227820294,548.3443623603791,0.5166650339558196,0.5033385682056638,-0.013326465750155836,6156.0,0.20971410006497726
泓都,0.9323213398222645,0.9567230610595644,0.024401721237299962,191.71396251956924,472.18885150637624,0.2467569336848393,0.240463269243972,-0.006293664440867319,2474.0,0.16693613581244948
半岛豪庭,0.886971101379345,0.9113697938818694,0.024398692502524466,558.9723268831701,1104.5234005838765,0.7562442465337174,0.73599849014389,-0.020245756389827396,4396.0,0.11965423111919928
黄埔新邨,0.887869061154635,0.9121328499793688,0.024263788824733835,340.0410419403096,1388.3027417249762,0.4595826886880383,0.44735725759422107,-0.01222543109381724,6647.0,0.1927185196329171
红磡邨,0.8917385716866012,0.9153773346555885,0.023638762968987415,282.8850160399904,1491.9946074768857,0.3806743702988451,0.3708438109577089,-0.009830559341136191,6744.0,0.26186239620403323
爱民邨,0.8883706077908083,0.9120006504041209,0.023630042613312658,812.7264277579678,599.9102667463129,1.0978207797023563,1.0693761159900532,-0.02844466371230303,17407.0,0.3317056356638134
俊民苑,0.8780090074631027,0.9015597641626771,0.023550756699574453,761.3449788974716,650.2917465786562,1.0405519384325446,1.013370395389688,-0.027181543042856582,4929.0,0.2694258470277947
安和园,0.88721477038612,0.9106908309452165,0.023476060559096453,938.8659160635561,1057.763793256591,1.2698606209925347,1.237125774184984,-0.03273484680755079,2781.0,0.25278676734987415
皓畋,0.8800493097721812,0.9033202346558649,0.023270924883683566,944.959803753053,652.6391275045551,1.28850935045584,1.2553153588280481,-0.03319399162779191,3189.0,0.058011915961116337
家维邨,0.8935514611611621,0.9167819902969265,0.0232305291357644,118.43310209342593,1261.0340761228808,0.15905040581258498,0.15502019456782906,-0.004030211244755916,6634.0,0.2987639433222792
何文田邨,0.880714686340187,0.9038391961318123,0.0231245097916251,854.2158788335487,962.5853519991804,1.1638945852713038,1.1341166205086417,-0.029777964762662146,12329.0,0.2637683510422581
益丰大厦,0.8904177105005807,0.9135013533775592,0.02308364287697854,735.6536374603995,1128.1223265885678,0.9914272307726112,0.9663744467246738,-0.025052784047937426,3249.0,0.15327793167128348
富荣花园,0.8799847054018242,0.9030043273487909,0.023019621946966627,642.5892029162377,716.9284273170535,0.8762732338028278,0.853935047867872,-0.022338185934955845,11335.0,0.1889722099691222
朗善邨,0.9188852619091945,0.9415967355884755,0.02271147367928099,1278.0225053123797,528.0227316353604,1.6690081666870946,1.6287514053629077,-0.040256761324186874,3086.0,0.10920285158781594
