day,n_roads,km,faster_03,near_03,slower_03,faster_05,near_05,slower_05
2025-09-16,4723,1458.2821482825711,0.26044393836423085,0.5308246350056043,0.20873142663016483,0.19768202567593557,0.642378126791778,0.15993984753228652
2025-09-26,5349,1658.1463099107216,0.21966397663287437,0.5054889566072949,0.2748470667598308,0.16210331396946845,0.6239263562649031,0.2139703297656284
2025-09-29,5054,1571.3981216440575,0.2488834707247876,0.49408910998288114,0.2570274192923313,0.1845684542184597,0.6211002333624008,0.19433131241913945
2025-09-30,5265,1602.96997918981,0.22960577072794916,0.48896812686070423,0.2814261024113466,0.17278446663721822,0.6059170109690359,0.22129852239374578
2025-10-02,5076,1539.709302160783,0.2498222675750639,0.48879357800688594,0.2613841544180502,0.18515164528695874,0.618551409365023,0.19629694534801834
2025-10-06,4818,1464.100223934338,0.28070945675435016,0.47796764490700755,0.24132289833864223,0.21890635579196976,0.5959966951269512,0.18509694908107907
2025-10-08,4708,1502.3277333212418,0.30586372039462467,0.49231963885580154,0.2018166407495738,0.2369048327434137,0.6087939118206269,0.15430125543595935
2025-10-09,4722,1442.9811495426445,0.29180391759448054,0.48996558561084225,0.21823049679467718,0.23182005476035186,0.601062459316647,0.1671174859230011
CONTROL MEAN,4964,1529.989370998271,0.26084956484604516,0.4960521594796278,0.2430982756743271,0.198740143635472,0.6147157753771708,0.18654408098735725
Sep 23 (Yagiasha),4378,1272.7258438515664,0.3389884217058394,0.3034449864847478,0.35756659180941275,0.28568697406552984,0.40867493622398043,0.30563808971048967
