road_id,road_category,bl_speed,typh_speed,dev,n_slots
10791,secondary,0.9725555555555556,0.5641666666666667,-0.4083888888888889,12
29414,primary,1.0,0.615,-0.385,8
31108,trunk_link,0.8945833333333333,0.5175000000000001,-0.3770833333333332,8
29668,trunk_link,0.8890625,0.5175000000000001,-0.3715624999999999,8
4263,motorway_link,0.9713353174603174,0.6085714285714285,-0.3627638888888889,14
93140,primary_link,0.9475,0.663,-0.2845,10
11723,secondary_link,0.9861587301587301,0.7033333333333334,-0.28282539682539676,9
44788,trunk,0.9786363636363636,0.7172727272727273,-0.26136363636363635,11
2792,primary,0.6646364087301587,0.4175,-0.24713640873015874,8
17476,motorway_link,0.7264206349206349,0.52,-0.2064206349206349,12
4919,secondary_link,0.5819315476190476,0.3775,-0.20443154761904764,8
11768,secondary_link,0.914138888888889,0.7200000000000001,-0.19413888888888886,12
3194,primary,0.9206296296296297,0.73,-0.1906296296296297,9
1271,motorway_link,0.9752407407407407,0.7846666666666666,-0.19057407407407412,15
24368,tertiary,0.9427777777777777,0.758888888888889,-0.18388888888888877,9
35632,primary,0.9469375,0.77625,-0.1706875,8
3139,primary,0.9909011243386243,0.8216666666666667,-0.16923445767195766,12
89525,motorway_link,0.7384126984126984,0.57,-0.16841269841269846,9
11727,secondary_link,0.8933472222222223,0.7325,-0.16084722222222225,12
10934,tertiary,0.8187121212121212,0.6590909090909091,-0.15962121212121216,11
